dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/D/short,t0-beta,15.734146026831786,15.734146026831786,2.653700859455624,0.8066365937423092,0.04935906472220879,0.04895435880458269,6.530003027838257,3.96662905082285,0.07088896625189442,0.04742518351433672,0.03812476894593804,Transport,1
solar/10T/short,t0-beta,22.17640615495742,22.17640615495742,1.983497697593522,0.87062072240917,4.9819604265354664,1.5141268982667773,3.9154214156751843,4.709183172797318,1.3699008749938755,0.5769992654304956,0.42643170446790823,Energy,1
solar/10T/medium,t0-beta,22.272897312541474,22.272897312541474,1.8418353672445256,0.8059493090515457,3.5390705313244935,1.4503737537222439,4.133778878339075,4.719417052194209,1.047257346119731,0.4087105668682461,0.3086455546391152,Energy,1
solar/10T/long,t0-beta,22.097738065820153,22.097738065820153,1.873779178071776,0.8177089948486213,3.170528535258494,1.4575175771597115,4.329141695106506,4.700823126413091,1.0160076116796792,0.4049873514344435,0.306975161696653,Energy,1
us_births/M/short,t0-beta,51999098.666666664,51999098.666666664,6313.938802083333,0.7144204292204703,0.01942065730690956,0.019655222694079082,4.3432179232862955,7211.040054435051,0.022397441244825286,0.019611050871379918,0.014121337248552777,Healthcare,1
saugeen/D/short,t0-beta,1284.7711458333333,1284.7711458333333,13.499195149739583,2.999662633750051,0.28938326517740887,0.3357800801595052,25.50665256823322,35.84370441002622,1.1609861261559773,0.4372421472914454,0.352637577399493,Nature,1
saugeen/M/short,t0-beta,402.2320498511905,402.2320498511905,12.68707275390625,0.7434656104959451,0.3617228553408668,0.3620125679742722,4.516975929537402,20.05572361823902,0.6021329896268705,0.3809039849340498,0.290641981850073,Nature,1
loop_seattle/5T/short,t0-beta,45.158086925148346,45.158086925148346,3.5451542998984134,0.5600905090546504,0.08896303541027971,0.07630807504565354,4.046621044214066,6.71997670569983,0.11523276799545443,0.0607915712865165,0.04760212193488708,Transport,1
loop_seattle/5T/medium,t0-beta,68.39539900993292,68.39539900993292,4.666365887432276,0.7428462286165818,0.14112088749652307,0.10698199355811404,5.369799421064756,8.270151087491262,0.14714297776534807,0.0830242355617849,0.0651880699977548,Transport,1
loop_seattle/5T/long,t0-beta,80.10509287925697,80.10509287925697,5.002051728586172,0.7921787271540384,0.1499536499541337,0.11376233328675037,5.865114487831409,8.950144852417584,0.1582403913971416,0.08843729753786275,0.06958483424202425,Transport,1
